Source Node,Link,Destination Node,Source Type
sweet pea,helped_by,silverbeet,flowers
sweet pea,helped_by,salads,flowers
beet,helped_by,bean,vegetables
broccoli,helped_by,pac choi,vegetables
brussels sprouts,helped_by,malting barley,vegetables
cabbage,helped_by,pot marigold,vegetables
cabbage,helped_by,lacy phacelia,vegetables
cabbage,helped_by,green onion,vegetables
cabbage,helped_by,chinese cabbage,vegetables
cauliflower,helped_by,chinese cabbage,vegetables
celery,helped_by,bean,vegetables
corn,helped_by,white geranium,vegetables
corn,helped_by,lamb's quarters,vegetables
corn,helped_by,morning glory,vegetables
corn,helped_by,field mustard,vegetables
corn,helped_by,sudan grass,vegetables
maize,helped_by,white geranium,vegetables
maize,helped_by,lamb's quarters,vegetables
maize,helped_by,morning glory,vegetables
maize,helped_by,field mustard,vegetables
maize,helped_by,sudan grass,vegetables
cucumber,helped_by,amaranthus cruentus,vegetables
cucumber,helped_by,malabar spinach,vegetables
cucurbit,helped_by,grain sorghum,vegetables
eggplant,helped_by,redroot pigweed,vegetables
eggplant,helped_by,green bean,vegetables
aubergine,helped_by,redroot pigweed,vegetables
aubergine,helped_by,green bean,vegetables
legumes,helped_by,summer savory,vegetables
legumes,helped_by,lacy phacelia,vegetables
okra,helped_by,sweet potato,vegetables
onion,helped_by,summer savory,vegetables
pepper,helped_by,crimson clover,vegetables
pepper,helped_by,field mustard,vegetables
potato,helped_by,dead nettle,vegetables
pumpkin,helped_by,jimson weed,vegetables
soybean,helped_by,snap bean,vegetables
turnips,helped_by,hairy vetch,vegetables
rutabagas,helped_by,hairy vetch,vegetables
blueberries,helped_by,oak trees,fruits
blueberries,helped_by,pine trees,fruits
blueberries,helped_by,bay laurel,fruits
fruit tree,helped_by,lemon balm,fruits
melon,helped_by,summer savory,fruits
melon,helped_by,sow thistle,fruits
passion fruit,helped_by,swiss chard,fruits
strawberry,helped_by,bean,fruits
lupin,helped_by,summer savory,flowers
sunflower,helped_by,swan plant,flowers
tomato,helped_by,bee balm monarda,vegetables
allium,avoid,bean,vegetables
allium,avoid,peas,vegetables
asparagus,avoid,onion,vegetables
asparagus,avoid,garlic,vegetables
asparagus,avoid,potato,vegetables
asparagus,avoid,gladiolus,vegetables
bean,avoid,fennel,vegetables
bean,avoid,soybean,vegetables
bean,avoid,alfalfa,vegetables
"bean, pole",avoid,sunflower,vegetables
"bean, pole",avoid,beet,vegetables
"bean, pole",avoid,brassicas,vegetables
"bean, pole",avoid,kohlrabi,vegetables
beet,avoid,runner,vegetables
brassicas,avoid,mustard,vegetables
brassicas,avoid,nightshades,vegetables
brassicas,avoid,tomato,vegetables
brassicas,avoid,pepper,vegetables
brassicas,avoid,strawberry,vegetables
cabbage,avoid,grapes,vegetables
carrot,avoid,dill,vegetables
carrot,avoid,parsnip,vegetables
carrot,avoid,radish,vegetables
celery,avoid,corn,vegetables
corn,avoid,tomato,vegetables
corn,avoid,celery,vegetables
maize,avoid,tomato,vegetables
maize,avoid,celery,vegetables
cucumber,avoid,potato,vegetables
legumes,avoid,allium,vegetables
legumes,avoid,gladiolus,vegetables
lettuce,avoid,celery,vegetables
lettuce,avoid,cabbage,vegetables
lettuce,avoid,cress,vegetables
lettuce,avoid,parsley,vegetables
nightshades,avoid,bean,vegetables
nightshades,avoid,corn,vegetables
nightshades,avoid,fennel,vegetables
nightshades,avoid,dill,vegetables
nightshades,avoid,brassicas,vegetables
onion,avoid,lentils,vegetables
onion,avoid,peas,vegetables
onion,avoid,bean,vegetables
pepper,avoid,bean,vegetables
potato,avoid,atriplex,vegetables
potato,avoid,carrot,vegetables
potato,avoid,cucumber,vegetables
potato,avoid,pumpkin,vegetables
potato,avoid,raspberries,vegetables
potato,avoid,squash,vegetables
potato,avoid,sunflower,vegetables
potato,avoid,tomato,vegetables
pumpkin,avoid,potato,vegetables
radish,avoid,grapes,vegetables
tomato,avoid,alfalfa,vegetables
tomato,avoid,corn,vegetables
tomato,avoid,fennel,vegetables
tomato,avoid,peas,vegetables
tomato,avoid,dill,vegetables
tomato,avoid,potato,vegetables
tomato,avoid,beetroot,vegetables
tomato,avoid,brassicas,vegetables
tomato,avoid,rosemary,vegetables
turnips,avoid,knotweed,vegetables
rutabagas,avoid,knotweed,vegetables
apple,avoid,cedar,fruits
apple,avoid,walnut,fruits
apricot,avoid,pepper,fruits
blueberries,avoid,tomato,fruits
grapes,avoid,cabbage,fruits
grapes,avoid,garlic,fruits
grapes,avoid,radish,fruits
passion fruit,avoid,cucurbit,fruits
passion fruit,avoid,maize,fruits
passion fruit,avoid,cowpea,fruits
passion fruit,avoid,sorghum,fruits
passion fruit,avoid,okra,fruits
strawberry,avoid,brassicas,fruits
strawberry,avoid,tomato,fruits
strawberry,avoid,potato,fruits
strawberry,avoid,eggplant,fruits
strawberry,avoid,pepper,fruits
strawberry,avoid,melon,fruits
strawberry,avoid,okra,fruits
strawberry,avoid,mints,fruits
strawberry,avoid,bush,fruits
strawberry,avoid,chrysanthemums,fruits
strawberry,avoid,rose,fruits
basil,avoid,thyme,herbs
caraway,avoid,dill,herbs
chervil,avoid,radish,herbs
chives,avoid,bean,herbs
chives,avoid,peas,herbs
dill,avoid,carrot,herbs
dill,avoid,tomato,herbs
garlic,avoid,cabbage,herbs
garlic,avoid,grapes,herbs
hyssop,avoid,radish,herbs
lovage,avoid,rhubarb,herbs
parsley,avoid,allium,herbs
parsley,avoid,lettuce,herbs
sage,avoid,allium,herbs
geraniums,avoid,tomato,flowers
geraniums,avoid,tobacco,flowers
geraniums,avoid,nightshades,flowers
lupin,avoid,tomato,flowers
lupin,avoid,nightshades,flowers
nasturtium,avoid,cauliflower,flowers
bean,avoid,dry bean,vegetables
beet,avoid,"bean, pole",vegetables
brassicas,avoid,"bean, pole",vegetables
celery,avoid,aster,vegetables
cucumber,avoid,aromatic herbs,vegetables
leek,avoid,swiss chard,vegetables
nightshades,avoid,black walnut,vegetables
pepper,avoid,kale cabbage,vegetables
pepper,avoid,brussels sprouts,vegetables
tomato,avoid,black walnut,vegetables
tomato,avoid,chili pepper,vegetables
turnips,avoid,hedge mustard,vegetables
rutabagas,avoid,hedge mustard,vegetables
passion fruit,avoid,sweet potato,fruits
strawberry,avoid,bramble fruits,fruits
strawberry,avoid,stone fruits,fruits
basil,avoid,common rue,herbs
sage,avoid,common rue,herbs
sunflower,avoid,"bean, pole",flowers
